agency_cd	site_no	datetime	8278_00060_00003	8278_00060_00003_cd
USGS	11098000	2019-04-01	10.9	A
USGS	11098000	2019-04-02	10.6	A
USGS	11098000	2019-04-03	10.4	A
USGS	11098000	2019-04-04	11.5	A
USGS	11098000	2019-04-05	11.2	A
USGS	11098000	2019-04-06	10.3	A
USGS	11098000	2019-04-07	8.27	A
USGS	11098000	2019-04-08	7.27	A
USGS	11098000	2019-04-09	6.28	A
USGS	11098000	2019-04-10	5.83	A
USGS	11098000	2019-04-11	5.89	A
USGS	11098000	2019-04-12	5.86	A
USGS	11098000	2019-04-13	5.68	A
USGS	11098000	2019-04-14	5.63	A
USGS	11098000	2019-04-15	6.35	A
USGS	11098000	2019-04-16	7.83	A
USGS	11098000	2019-04-17	7.68	A
USGS	11098000	2019-04-18	6.49	A
USGS	11098000	2019-04-19	5.23	A
USGS	11098000	2019-04-20	5.29	A
USGS	11098000	2019-04-21	5.46	A
USGS	11098000	2019-04-22	5.17	A
USGS	11098000	2019-04-23	4.88	A
USGS	11098000	2019-04-24	4.62	A
USGS	11098000	2019-04-25	4.61	A
USGS	11098000	2019-04-26	4.65	A
USGS	11098000	2019-04-27	4.61	A
USGS	11098000	2019-04-28	4.97	A
USGS	11098000	2019-04-29	5.36	A
USGS	11098000	2019-04-30	5.52	A
USGS	11098000	2019-05-01	5.11	A
USGS	11098000	2019-05-02	5.07	A
USGS	11098000	2019-05-03	4.85	A
USGS	11098000	2019-05-04	4.66	A
USGS	11098000	2019-05-05	4.39	A
USGS	11098000	2019-05-06	4.64	A
USGS	11098000	2019-05-07	4.67	A
USGS	11098000	2019-05-08	4.58	A
USGS	11098000	2019-05-09	4.81	A
USGS	11098000	2019-05-10	5.01	A
USGS	11098000	2019-05-11	4.69	A
USGS	11098000	2019-05-12	4.43	A
USGS	11098000	2019-05-13	4.25	A
USGS	11098000	2019-05-14	4.02	A
USGS	11098000	2019-05-15	3.89	A
USGS	11098000	2019-05-16	4.79	A
USGS	11098000	2019-05-17	3.79	A
USGS	11098000	2019-05-18	3.52	A
USGS	11098000	2019-05-19	4.86	A
USGS	11098000	2019-05-20	4.98	A
USGS	11098000	2019-05-21	4.06	A
USGS	11098000	2019-05-22	4.09	A
USGS	11098000	2019-05-23	4.22	A
USGS	11098000	2019-05-24	4.05	A
USGS	11098000	2019-05-25	3.93	A
USGS	11098000	2019-05-26	5.14	A
USGS	11098000	2019-05-27	5.70	A
USGS	11098000	2019-05-28	4.77	A
USGS	11098000	2019-05-29	4.57	A
USGS	11098000	2019-05-30	4.37	A
USGS	11098000	2019-05-31	4.34	A
USGS	11098000	2019-06-01	4.65	A
USGS	11098000	2019-06-02	4.98	A
USGS	11098000	2019-06-03	4.95	A
USGS	11098000	2019-06-04	4.15	A
USGS	11098000	2019-06-05	3.74	A
USGS	11098000	2019-06-06	3.55	A
USGS	11098000	2019-06-07	3.38	A
USGS	11098000	2019-06-08	3.25	A
USGS	11098000	2019-06-09	3.10	A
USGS	11098000	2019-06-10	2.90	A
USGS	11098000	2019-06-11	2.78	A
USGS	11098000	2019-06-12	2.75	A
USGS	11098000	2019-06-13	2.66	A
USGS	11098000	2019-06-14	2.66	A
USGS	11098000	2019-06-15	2.66	A
USGS	11098000	2019-06-16	2.61	A
USGS	11098000	2019-06-17	2.69	A
USGS	11098000	2019-06-18	2.66	A
USGS	11098000	2019-06-19	2.56	A
USGS	11098000	2019-06-20	2.64	A
USGS	11098000	2019-06-21	2.74	A
USGS	11098000	2019-06-22	2.80	A
USGS	11098000	2019-06-23	2.61	A
USGS	11098000	2019-06-24	2.34	A
USGS	11098000	2019-06-25	2.26	A
USGS	11098000	2019-06-26	2.28	A
USGS	11098000	2019-06-27	2.23	A
USGS	11098000	2019-06-28	2.05	A
USGS	11098000	2019-06-29	1.89	A
USGS	11098000	2019-06-30	1.74	A
USGS	11098000	2019-07-01	1.67	A
USGS	11098000	2019-07-02	1.63	A
USGS	11098000	2019-07-03	1.63	A
USGS	11098000	2019-07-04	1.65	A
USGS	11098000	2019-07-05	1.68	A
USGS	11098000	2019-07-06	1.67	A
USGS	11098000	2019-07-07	1.66	A
USGS	11098000	2019-07-08	1.68	A
USGS	11098000	2019-07-09	1.68	A
USGS	11098000	2019-07-10	1.69	A
USGS	11098000	2019-07-11	1.58	A
USGS	11098000	2019-07-12	1.46	A
USGS	11098000	2019-07-13	1.34	A
USGS	11098000	2019-07-14	1.28	A
USGS	11098000	2019-07-15	1.26	A
USGS	11098000	2019-07-16	1.23	A
USGS	11098000	2019-07-17	1.26	A
USGS	11098000	2019-07-18	1.24	A
USGS	11098000	2019-07-19	1.25	A
USGS	11098000	2019-07-20	1.24	A
USGS	11098000	2019-07-21	1.20	A
USGS	11098000	2019-07-22	1.21	A
USGS	11098000	2019-07-23	1.15	A
USGS	11098000	2019-07-24	1.11	A
USGS	11098000	2019-07-25	1.17	A
USGS	11098000	2019-07-26	1.09	A
USGS	11098000	2019-07-27	1.07	A
USGS	11098000	2019-07-28	1.03	A
USGS	11098000	2019-07-29	1.01	A
USGS	11098000	2019-07-30	1.01	A
USGS	11098000	2019-07-31	1.06	A
USGS	11098000	2019-08-01	1.01	A
USGS	11098000	2019-08-02	0.93	A
USGS	11098000	2019-08-03	0.91	A
USGS	11098000	2019-08-04	0.86	A
USGS	11098000	2019-08-05	0.85	A
USGS	11098000	2019-08-06	0.84	A
USGS	11098000	2019-08-07	0.90	A
USGS	11098000	2019-08-08	0.86	A
USGS	11098000	2019-08-09	0.83	A
USGS	11098000	2019-08-10	0.83	A
USGS	11098000	2019-08-11	0.83	A
USGS	11098000	2019-08-12	0.82	A
USGS	11098000	2019-08-13	0.70	A
USGS	11098000	2019-08-14	0.63	A
USGS	11098000	2019-08-15	0.62	A
USGS	11098000	2019-08-16	0.64	A
USGS	11098000	2019-08-17	0.68	A
USGS	11098000	2019-08-18	0.65	A
USGS	11098000	2019-08-19	0.63	A
USGS	11098000	2019-08-20	0.56	A
USGS	11098000	2019-08-21	0.53	A
USGS	11098000	2019-08-22	0.55	A
USGS	11098000	2019-08-23	0.58	A
USGS	11098000	2019-08-24	0.52	A
USGS	11098000	2019-08-25	0.50	A
USGS	11098000	2019-08-26	0.49	A
USGS	11098000	2019-08-27	0.49	A
USGS	11098000	2019-08-28	0.52	A
USGS	11098000	2019-08-29	0.49	A
USGS	11098000	2019-08-30	0.45	A
USGS	11098000	2019-08-31	0.41	A
USGS	11098000	2019-09-01	0.39	A
USGS	11098000	2019-09-02	0.44	A
USGS	11098000	2019-09-03	0.63	A
USGS	11098000	2019-09-04	0.61	A
USGS	11098000	2019-09-05	0.61	A
USGS	11098000	2019-09-06	0.44	A
USGS	11098000	2019-09-07	0.30	A
USGS	11098000	2019-09-08	0.36	A
USGS	11098000	2019-09-09	0.39	A
USGS	11098000	2019-09-10	0.48	A
USGS	11098000	2019-09-11	0.41	A
USGS	11098000	2019-09-12	0.30	A
USGS	11098000	2019-09-13	0.24	A
USGS	11098000	2019-09-14	0.23	A
USGS	11098000	2019-09-15	0.23	A
USGS	11098000	2019-09-16	0.26	A
USGS	11098000	2019-09-17	0.29	A
USGS	11098000	2019-09-18	0.31	A
USGS	11098000	2019-09-19	0.34	A
USGS	11098000	2019-09-20	0.29	A
USGS	11098000	2019-09-21	0.24	A
USGS	11098000	2019-09-22	0.19	A
USGS	11098000	2019-09-23	0.28	A
USGS	11098000	2019-09-24	0.23	A
USGS	11098000	2019-09-25	0.22	A
USGS	11098000	2019-09-26	0.41	A
USGS	11098000	2019-09-27	0.57	A
USGS	11098000	2019-09-28	0.59	A
USGS	11098000	2019-09-29	0.42	A
USGS	11098000	2019-09-30	0.36	A
USGS	11098000	2019-10-01	0.32	A
USGS	11098000	2019-10-02	0.26	A
USGS	11098000	2019-10-03	0.24	A
USGS	11098000	2019-10-04	0.27	A
USGS	11098000	2019-10-05	0.23	A
USGS	11098000	2019-10-06	0.19	A
USGS	11098000	2019-10-07	0.17	A
USGS	11098000	2019-10-08	0.19	A
USGS	11098000	2019-10-09	0.25	A
USGS	11098000	2019-10-10	0.36	A
USGS	11098000	2019-10-11	0.73	A
USGS	11098000	2019-10-12	0.78	A
USGS	11098000	2019-10-13	0.62	A
USGS	11098000	2019-10-14	0.28	A
USGS	11098000	2019-10-15	0.22	A
USGS	11098000	2019-10-16	0.17	A
USGS	11098000	2019-10-17	0.24	A
USGS	11098000	2019-10-18	0.30	A
USGS	11098000	2019-10-19	0.23	A
USGS	11098000	2019-10-20	0.20	A
USGS	11098000	2019-10-21	0.16	A
USGS	11098000	2019-10-22	0.15	A
USGS	11098000	2019-10-23	0.15	A
USGS	11098000	2019-10-24	0.11	A
USGS	11098000	2019-10-25	0.19	A
USGS	11098000	2019-10-26	0.19	A
USGS	11098000	2019-10-27	0.32	A
USGS	11098000	2019-10-28	0.27	A
USGS	11098000	2019-10-29	0.35	A
USGS	11098000	2019-10-30	0.28	A
USGS	11098000	2019-10-31	0.29	A
USGS	11098000	2019-11-01	0.28	A
USGS	11098000	2019-11-02	0.29	A
USGS	11098000	2019-11-03	0.29	A
USGS	11098000	2019-11-04	0.32	A
USGS	11098000	2019-11-05	0.29	A
USGS	11098000	2019-11-06	0.34	A
USGS	11098000	2019-11-07	0.35	A
USGS	11098000	2019-11-08	0.28	A
USGS	11098000	2019-11-09	0.27	A
USGS	11098000	2019-11-10	0.33	A
USGS	11098000	2019-11-11	0.38	A
USGS	11098000	2019-11-12	0.34	A
USGS	11098000	2019-11-13	0.36	A
USGS	11098000	2019-11-14	0.38	A
USGS	11098000	2019-11-15	0.40	A
USGS	11098000	2019-11-16	0.34	A
USGS	11098000	2019-11-17	0.34	A
USGS	11098000	2019-11-18	0.35	A
USGS	11098000	2019-11-19	0.40	A
USGS	11098000	2019-11-20	0.58	A
USGS	11098000	2019-11-21	0.55	A
USGS	11098000	2019-11-22	0.47	A
USGS	11098000	2019-11-23	0.42	A
USGS	11098000	2019-11-24	0.39	A
USGS	11098000	2019-11-25	0.44	A
USGS	11098000	2019-11-26	0.51	A
USGS	11098000	2019-11-27	1.01	A
USGS	11098000	2019-11-28	1.43	A
USGS	11098000	2019-11-29	1.05	A
USGS	11098000	2019-11-30	0.55	A
USGS	11098000	2019-12-01	0.55	A
USGS	11098000	2019-12-02	0.60	A
USGS	11098000	2019-12-03	0.66	A
USGS	11098000	2019-12-04	3.63	A
USGS	11098000	2019-12-05	3.20	A
USGS	11098000	2019-12-06	2.00	A
USGS	11098000	2019-12-07	2.26	A
USGS	11098000	2019-12-08	4.36	A
USGS	11098000	2019-12-09	4.21	A
USGS	11098000	2019-12-10	2.59	A
USGS	11098000	2019-12-11	2.24	A
USGS	11098000	2019-12-12	2.09	A
USGS	11098000	2019-12-13	1.97	A
USGS	11098000	2019-12-14	1.85	A
USGS	11098000	2019-12-15	1.67	A
USGS	11098000	2019-12-16	1.63	A
USGS	11098000	2019-12-17	1.56	A
USGS	11098000	2019-12-18	1.54	A
USGS	11098000	2019-12-19	1.51	A
USGS	11098000	2019-12-20	1.55	A
USGS	11098000	2019-12-21	1.52	A
USGS	11098000	2019-12-22	1.50	A
USGS	11098000	2019-12-23	4.29	A
USGS	11098000	2019-12-24	3.54	A
USGS	11098000	2019-12-25	2.74	A
USGS	11098000	2019-12-26	28.7	A
USGS	11098000	2019-12-27	4.67	A
USGS	11098000	2019-12-28	2.46	A
USGS	11098000	2019-12-29	2.00	A
USGS	11098000	2019-12-30	1.74	A
USGS	11098000	2019-12-31	1.24	A:e
USGS	11098000	2020-01-01	1.27	A:e
USGS	11098000	2020-01-02	1.29	A:e
USGS	11098000	2020-01-03	1.25	A:e
USGS	11098000	2020-01-04	1.31	A:e
USGS	11098000	2020-01-05	1.30	A:e
